"(PDH-CSV 4.0) (Sri Lanka Standard Time)(-330)","\\DESKTOP-FUOCR3U\Processor(_Total)\% Processor Time","\\DESKTOP-FUOCR3U\Processor(_Total)\% Idle Time","\\DESKTOP-FUOCR3U\Memory\Available MBytes","\\DESKTOP-FUOCR3U\LogicalDisk(_Total)\% Disk Time"
"04/28/2023 05:55:48.490"," "," ","7638"," "
"04/28/2023 05:56:03.500","13.959073156484624434","52.460837673007368664","6768","1.6616409776677252275"
"04/28/2023 05:56:18.513","2.2570271835956945417","72.309335207377287702","6830","0.12127097885247375975"
"04/28/2023 05:56:33.514","4.8057357579141530834","50.994979665281249481","6676","0.41285588590932548181"
"04/28/2023 05:56:48.529","22.81170755850932963","40.117944234816313553","4861","2.0650377604021934452"
"04/28/2023 05:57:03.541","8.991300412042546597","54.365495884627158318","4775","0.31802044211209323787"
"04/28/2023 05:57:18.555","7.4044213395628721841","48.607073096281098401","4568","0.26246836293563979847"
"04/28/2023 05:57:33.562","6.8968577046481076565","52.662836690446169996","4590","0.15439723237855254578"
"04/28/2023 05:57:48.577","12.138029441590770574","26.200982741457963243","4355","0.47319744196416374526"
"04/28/2023 05:58:03.589","10.211699496942284071","18.833586675696757595","4376","0.15558735323342026691"
"04/28/2023 05:58:18.606","29.574725285796542806","12.828628266529149116","4305","0.23841786654231988951"
"04/28/2023 05:58:33.639","24.019690277931594835","13.060703171070468187","4219","0.21526878249168526769"
"04/28/2023 05:58:48.653","10.66482104419360688","17.456022803589171133","4244","0.11291073755085655195"
"04/28/2023 05:59:03.670","9.7352859743030872863","18.724487234311457229","4228","0.16663561437393983877"
"04/28/2023 05:59:18.684","9.7504219466098440705","21.999952293477100795","4356","0.11671378845937911695"
"04/28/2023 05:59:33.691","8.1105043815439366028","22.931183172321048858","4321","0.1373234309033532774"
"04/28/2023 05:59:48.701","10.029144305895998812","19.418004007282103629","4109","0.62724449013365957128"
"04/28/2023 06:00:03.718","11.667793667164694682","18.998830235285151247","4172","0.57746011080212122923"
"04/28/2023 06:00:18.733","8.3644761691104463353","21.864961413919907329","4166","0.11507530905135218702"
"04/28/2023 06:00:33.751","6.7735889700232814192","26.388062588725791358","4215","0.065752662771765738037"
"04/28/2023 06:00:48.766","5.8356026695884022359","30.801481212157405309","4267","0.057940514298766343515"
"04/28/2023 06:01:03.777","6.3634585773775125261","30.380957544193226028","4285","0.049267614969382061973"
"04/28/2023 06:01:18.791","5.9741460075927621531","33.738099614427156325","4281","0.048997155254207218344"
"04/28/2023 06:01:33.797","5.1277590952099716404","35.190016802049086664","4302","0.098194771340510939028"
"04/28/2023 06:01:48.805","8.6432641327502395256","27.170497286077576859","4296","0.14233670729278471989"
"04/28/2023 06:02:03.816","15.173163608580464867","16.746729800604548188","4253","0.17629543172861159017"
"04/28/2023 06:02:18.822","11.491351219269796857","16.010219729134171018","4260","0.12636089971311545432"
"04/28/2023 06:02:33.841","9.593659064953630633","17.408274479700082793","4274","0.086453846453108190717"
"04/28/2023 06:02:48.852","15.775862036804412014","15.36489008806236356","4344","2.6766251044956366201"
"04/28/2023 06:03:03.867","12.649378714741066787","16.578681775538719023","4371","0.79994003253903489536"
"04/28/2023 06:03:18.885","11.741266065187561551","16.775071390161393481","4405","0.41428303553787493296"
"04/28/2023 06:03:33.901","11.99356367326278594","17.092900006318025419","4413","0.17808560732374972835"
"04/28/2023 06:03:48.918","13.747539359838189199","15.824018178564442039","4413","0.26817826292565422053"
"04/28/2023 06:04:03.936","11.177179119870217505","16.547846288177620266","4418","0.10432573575130828225"
"04/28/2023 06:04:18.954","11.914726373099560064","16.110154657112378374","4413","0.1040424895995296084"
"04/28/2023 06:04:33.968","11.657572524356529797","15.85895231082005985","4409","0.4404835484833923287"
"04/28/2023 06:04:48.985","12.112814693988804393","15.422986243231884274","4412","0.47433684569550454979"
"04/28/2023 06:05:03.994","15.07212480121976661","15.299703866056496793","4385","0.52138721237708762768"
"04/28/2023 06:05:19.000","13.878243233799558709","15.026875123450988525","4426","0.36490607923901247078"
"04/28/2023 06:05:34.003","13.414777696486456904","15.460053045455929066","4427","0.24305902931929948552"
"04/28/2023 06:05:49.022","19.252630432142659345","12.524657939649156191","4454","0.62940438113246155449"
"04/28/2023 06:06:04.036","16.960529919202617322","14.369235094140883291","4436","0.64400583929673638206"
"04/28/2023 06:06:19.040","37.571196119737294339","8.5407478882315235325","4346","6.2825898974942493425"
"04/28/2023 06:06:34.050","48.178456134286541612","7.5346448032283825924","4333","1.6351728728626901965"
"04/28/2023 06:06:49.068","41.611517134806952356","7.2117094050803727256","4284","19.622817348281003547"
"04/28/2023 06:07:04.085","28.599166497897464012","12.404335764315653989","4317","1.7945669515506741387"
"04/28/2023 06:07:19.097","27.333363976925372896","11.304772173220230869","4301","1.4737176239624896201"
"04/28/2023 06:07:34.103","25.572410705697144806","11.276580013865363128","4109","68.35512056358933819"
"04/28/2023 06:07:49.123","35.704586892389642117","11.155118921286630851","4203","2.1158153923801661378"
"04/28/2023 06:08:04.133","44.25576900055031615","6.5150367842720564582","4056","5.3709099170029173109"
"04/28/2023 06:08:19.137","31.209134531303718063","8.0176557966501658115","3905","5.8673666071762200502"
"04/28/2023 06:08:34.161","22.741856224672119424","10.666435927891026125","3907","24.319392606796832013"
"04/28/2023 06:08:49.169","30.303372629073955125","9.2644061851470382862","3911","15.523430591164805392"
